country,socialNbFollowers,socialNbFollows,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,seniority,sellerRating,totalProductsSold,daysSinceLastLogin,socialProductsLiked
Germany,10,8,1.0,0,0.0,8,0,F,True,False,True,True,3199,0.0,0.0,35,28.0
Germany,60,8,1.0,55,0.0,0,0,F,True,False,True,True,3197,1.0,56.0,32,22.0
Italy,14,8,26.0,2,50.0,61,0,M,True,False,True,True,3195,50.0,1.0,56,71.0
Spain,77,13,10.0,66,0.0,4,1,F,True,False,True,True,3202,0.0,65.0,2,74.0
Spain,10,8,15.0,0,0.0,1,2,F,False,False,False,True,3199,0.0,1.0,6,102.0
Spain,11,8,14.0,0,0.0,0,0,M,False,False,False,True,3197,0.0,0.0,3,67.0
France,98,8,35.0,81,0.0,1,0,M,True,False,True,True,3198,1.0,80.0,15,101.0
France,15,9,36.0,0,0.0,0,4,M,True,False,True,False,3202,0.0,0.0,12,112.0
Italy,83,8,28.0,65,0.0,0,3,M,True,False,True,True,3204,0.0,64.0,73,44.0
United_States,11,8,5.0,0,0.0,0,0,F,True,False,True,True,3202,0.0,0.0,10,65.0
United_Kingdom,111,8,9.0,95,0.0,0,1,F,False,False,False,True,3201,0.0,94.0,32,18.0
Spain,10,8,13.0,0,0.0,148,1,F,False,False,False,True,2857,1.0,1.0,5,60.0
France,124,10,38.0,103,0.0,2,0,M,False,False,False,True,3199,0.0,100.0,14,121.0
Italy,24,9,27.0,9,77.0,21,12,M,False,False,False,False,3205,76.0,8.0,46,45.0
United_States,14,9,4.0,0,0.0,8,0,F,False,False,False,True,3199,0.0,0.0,96,65.0
Germany,10,8,0.0,0,0.0,6,0,F,False,False,False,True,3202,1.0,0.0,34,25.0
United_Kingdom,10,8,10.0,1,0.0,0,0,F,False,False,False,True,2857,0.0,0.0,23,6.0
France,10,8,37.0,0,0.0,0,1,M,False,False,False,True,3195,0.0,0.0,11,110.0
United_States,10,8,4.0,0,0.0,0,0,M,True,True,False,True,3195,0.0,0.0,99,96.0
United_States,10,8,4.0,0,0.0,12,0,M,False,False,False,True,3199,0.0,0.0,15,76.0
France,10,8,49.0,1,0.0,0,3,M,True,False,True,True,3199,0.0,2.0,13,136.0
Germany,14,9,1.0,0,0.0,38,2,M,True,False,True,True,2857,1.0,0.0,32,27.0
United_States,17,8,4.0,1,0.0,5,1,F,False,False,False,True,3198,1.0,0.0,27,55.0
France,10,8,45.0,0,0.0,4,1,F,True,False,True,True,3204,0.0,0.0,15,142.0
France,10,8,38.0,0,0.0,14,0,F,False,False,False,True,2854,0.0,1.0,15,63.0
Spain,14,14,19.0,0,0.0,42,0,M,False,False,False,False,3195,0.0,0.0,6,95.0
United_States,10,8,4.0,0,0.0,0,0,F,True,False,True,True,3204,1.0,1.0,14,65.0
Spain,10,8,16.0,0,0.0,0,0,M,True,False,True,True,3196,0.0,1.0,4,65.0
United_States,10,8,5.0,0,0.0,3,0,F,False,False,False,True,3199,0.0,0.0,99,57.0
