country,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,anom_x,anom_y,login_data,likes
Germany,10,8,13,1.0,0,0.0,8,0,F,True,False,True,True,297,3199,0.3,0.2,35,27.600338691835702
Germany,60,8,105,1.0,55,0.0,0,0,F,True,False,True,True,465,3197,0.7490984112683626,55.65437118165166,32,21.89340549045668
Italy,14,8,52,26.0,2,50.0,61,0,M,True,False,True,True,15,3195,50.31403317915329,1.4209122258231932,56,71.00007926589157
Spain,77,13,7,10.0,66,0.0,4,1,F,True,False,True,True,180,3202,0.2,65.45851923172148,2,73.75637562814597
Spain,10,8,28,15.0,0,0.0,1,2,F,False,False,False,True,11,3199,0.3,0.7705024921304926,6,102.16504120521415
Spain,11,8,7,14.0,0,0.0,0,0,M,False,False,False,True,701,3197,0.3,0.1,3,67.39159722435535
France,98,8,4,35.0,81,0.0,1,0,M,True,False,True,True,338,3198,0.9349497337019684,80.34540123538562,15,100.53520137730516
France,15,9,8,36.0,0,0.0,0,4,M,True,False,True,False,29,3202,0.1,0.2,12,112.2443439903531
Italy,83,8,2,28.0,65,0.0,0,3,M,True,False,True,True,366,3204,0.1,63.57702512121886,73,44.23666977375688
United_States,11,8,36,5.0,0,0.0,0,0,F,True,False,True,True,358,3202,0.12417622334389125,0.1,10,65.1273805860296
United_Kingdom,111,8,5,9.0,95,0.0,0,1,F,False,False,False,True,160,3201,0.2717437853811979,94.32744184195715,32,17.51403546590401
Spain,10,8,16,13.0,0,0.0,148,1,F,False,False,False,True,11,2857,0.9760582233478141,0.7694087876671706,5,59.992331697210695
France,124,10,5,38.0,103,0.0,2,0,M,False,False,False,True,11,3199,0.2,99.8,14,121.02092415001476
Italy,24,9,49,27.0,9,77.0,21,12,M,False,False,False,False,12,3205,76.24251550068142,8.453544941762713,46,45.0
United_States,14,9,0,4.0,0,0.0,8,0,F,False,False,False,True,703,3199,0.0209903003425664,0.2,96,64.50696421133743
Germany,10,8,0,0.0,0,0.0,6,0,F,False,False,False,True,706,3202,0.719237111423138,0.4998533669717698,34,25.433463089253273
United_Kingdom,10,8,0,10.0,1,0.0,0,0,F,False,False,False,True,83,2857,0.2,0.22903794127707744,23,5.921482270449077
France,10,8,5,37.0,0,0.0,0,1,M,False,False,False,True,24,3195,0.1,0.1,11,109.7848683708745
United_States,10,8,3,4.0,0,0.0,0,0,M,True,True,False,True,320,3195,0.18253120911161186,0.3,99,96.0
United_States,10,8,0,4.0,0,0.0,12,0,M,False,False,False,True,394,3199,0.19227585340069125,0.1,15,76.3901396805493
France,10,8,2,49.0,1,0.0,0,3,M,True,False,True,True,13,3199,0.1,1.765022794517746,13,135.53452035148226
Germany,14,9,3,1.0,0,0.0,38,2,M,True,False,True,True,339,2857,0.7067683793070756,0.3,32,27.326743684788863
United_States,17,8,6,4.0,1,0.0,5,1,F,False,False,False,True,259,3198,0.6903104593785787,0.03911719456861429,27,55.24737692704448
France,10,8,9,45.0,0,0.0,4,1,F,True,False,True,True,30,3204,0.28951223048246666,0.4612031948748306,15,141.58745874166658
France,10,8,0,38.0,0,0.0,14,0,F,False,False,False,True,638,2854,0.25556043927395344,0.6007769946819159,15,63.31768035877336
Spain,14,14,17,19.0,0,0.0,42,0,M,False,False,False,False,93,3195,0.042294661547574566,0.3436137545770923,6,95.35378366007039
United_States,10,8,7,4.0,0,0.0,0,0,F,True,False,True,True,688,3204,0.5784137034716202,0.8604791292760847,14,64.5465716256667
Spain,10,8,3,16.0,0,0.0,0,0,M,True,False,True,True,42,3196,0.1,0.9141078693139107,4,65.40451153839506
United_States,10,8,3,5.0,0,0.0,3,0,F,False,False,False,True,245,3199,0.26618924635725183,0.2,99,56.79466194645998
Germany,10,8,5,2.0,0,0.0,0,0,F,True,True,True,True,615,3201,0.1,0.9385845795768174,28,21.0
United_Kingdom,10,8,30,8.0,0,0.0,1,0,F,True,False,True,True,54,3195,0.11019880214492617,0.2555229421541437,21,4.298567128328219
Germany,11,10,1,1.0,0,0.0,14,0,F,False,False,False,True,220,3198,-6.508248113652247,0.1,27,26.24701529109991
Italy,32,52,733,27.0,3,0.0,67,11,M,True,False,True,False,13,2859,0.033904946400090175,3.522460620883116,81,60.09527573957585
United_States,11,10,71,5.0,0,0.0,1,0,M,True,False,True,True,19,2859,0.08143675487808412,0.3,10,21.0
Spain,10,8,0,10.0,0,0.0,9,0,F,False,False,False,True,695,2856,0.5906553629964804,0.9056325897503708,4,51.87243575913196
France,17,9,13,41.0,0,0.0,22,2,F,True,True,False,True,227,3204,0.2,0.2,11,129.5968655827589
United_Kingdom,10,8,3,7.0,0,0.0,4,0,M,True,False,True,True,662,2856,0.2,0.2,4,25.0
Spain,11,8,10,12.0,0,0.0,8,4,F,False,False,False,True,203,2859,0.1,0.44330710734713774,8,62.84960463096039
United_Kingdom,13,8,2,6.0,5,40.0,170,4,M,True,False,True,True,12,3196,39.88414820802126,5.5956025695395235,23,5.785927081326958
United_Kingdom,10,8,0,7.0,0,0.0,3,0,F,False,False,False,True,318,3195,0.2,0.3,27,14.86250340236239
United_Kingdom,10,8,25,8.0,0,0.0,22,0,M,True,False,True,True,655,3204,0.1,0.9677745612972312,8,9.028212786587396
United_States,11,8,5,4.0,0,0.0,0,1,M,True,True,True,True,507,3203,0.05995903293873413,0.7974314429694809,17,56.369262957385075
France,11,10,8,35.0,0,0.0,5,0,M,True,False,True,False,117,2854,0.2336257368953543,0.3,11,120.58717495090657
United_States,10,9,36,4.0,0,0.0,0,0,F,True,False,True,True,378,3204,0.3,0.23399935133359825,17,14.0
Italy,10,8,22,31.0,0,0.0,0,0,F,True,False,True,True,678,3204,1.278963010461092,0.3,56,57.40431840488675
United_States,10,8,6,5.0,0,0.0,1,0,F,True,False,True,True,670,3203,0.1,0.1,19,55.16273876637619
France,10,8,0,34.0,2,0.0,0,0,F,False,False,False,True,12,3195,0.2,2.722321363067127,12,104.75963780840627
France,10,9,4,38.0,0,0.0,0,0,M,False,False,False,True,17,3196,0.2615217632531618,0.6391691757696042,12,158.73249703092023
Spain,10,8,0,14.0,0,0.0,4,0,F,False,False,False,True,670,3196,0.8832304018420831,0.2,98,50.28226120002937
Germany,16,9,1,1.0,0,0.0,0,3,M,True,False,True,True,667,3200,0.017966644227105272,0.2976555658980723,27,23.79675664397272
Spain,12,8,1,14.0,9,66.0,3,0,M,True,False,True,True,11,2859,65.57450971117275,8.743707857961137,2,66.78213497174725
Germany,17,8,40,1.0,0,0.0,2,3,F,True,False,True,True,32,2858,0.091554649285475,0.30043011082945925,31,27.450767943330607
Italy,10,8,0,25.0,0,0.0,11,0,M,True,False,True,True,163,2858,0.8368603691598413,0.1,97,74.31804664939483
France,10,8,5,36.0,0,0.0,0,0,M,True,False,True,True,345,3200,0.1,0.8072366200680677,11,133.1252094450118
