type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority
user,United_States,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,703,3199
user,Italy,it,3,8,1,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,266,3205
user,United_Kingdom,en,4,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,FALSE,559,2858
user,United_Kingdom,en,5,8,8,0,0,0,24,1,F,mrs,FALSE,FALSE,FALSE,TRUE,577,3203
user,Germany,de,4,8,21,0,0,0,12,3,F,mrs,TRUE,FALSE,TRUE,TRUE,468,2855
user,United_States,en,3,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,665,3196
user,Italy,it,3,10,3,0,0,0,1,0,M,mr,TRUE,FALSE,TRUE,TRUE,392,3201
user,Denmark,en,4,8,61,0,0,0,0,2,F,mrs,TRUE,FALSE,TRUE,TRUE,54,3205
user,Germany,de,3,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,703,3199
user,Italy,it,3,8,6,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,404,2854
user,Spain,es,3,8,1,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,273,2856
user,United_States,en,3,8,0,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,694,2855
user,France,fr,5,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,684,2857
user,United_States,en,3,8,7,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,707,3203
user,Spain,es,3,9,14,0,0,0,6,0,M,mr,TRUE,FALSE,TRUE,TRUE,269,2857
user,United_States,en,5,8,0,0,0,0,0,3,F,mrs,FALSE,FALSE,FALSE,TRUE,616,3199
user,Italy,it,3,8,1,1,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,22,2856
user,United_States,en,3,8,0,0,0,0,1,1,F,mrs,FALSE,FALSE,FALSE,TRUE,676,3195
user,Sweden,en,3,8,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,242,3204
user,France,fr,3,9,14,0,0,0,3,0,F,mrs,TRUE,FALSE,TRUE,TRUE,296,3201
user,United_Kingdom,en,3,9,3,0,0,0,1,0,F,miss,FALSE,FALSE,FALSE,TRUE,474,3201
user,France,fr,3,8,30,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,475,2858
user,United_Kingdom,en,3,8,4,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,692,2853
user,Denmark,en,3,8,12,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,12,2854
user,France,fr,3,8,0,0,0,0,1,0,M,mr,FALSE,FALSE,FALSE,TRUE,698,2859
user,United_States,en,3,8,12,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,661,2854
user,United_Kingdom,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,691,2853
user,Germany,de,4,8,0,0,0,0,0,1,F,mrs,TRUE,FALSE,TRUE,TRUE,572,2855
user,Italy,it,3,8,8,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,100,3197
user,United_States,en,4,8,2,0,1,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,466,3205
user,France,fr,4,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,654,2853
user,Italy,it,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,693,2854
user,United_States,en,4,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3201
user,United_Kingdom,en,3,8,4,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,691,2852
user,Italy,it,4,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,335,2856
user,United_States,en,4,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3198
user,United_Kingdom,en,4,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,298,3198
user,Germany,de,5,8,2,0,0,0,8,0,F,mrs,FALSE,FALSE,FALSE,TRUE,199,3202
user,Italy,fr,3,8,1,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,698,2859
user,Germany,de,3,8,2,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,704,3200
user,Germany,de,4,8,2,0,0,0,0,2,F,mrs,FALSE,FALSE,FALSE,TRUE,11,2854
user,Australia,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,89,2854
user,United_States,en,5,8,24,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,473,3197
user,France,fr,3,8,0,0,0,0,0,2,F,mrs,FALSE,FALSE,FALSE,TRUE,596,3199
user,United_States,en,3,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,652,3201
user,France,fr,3,8,1,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,702,3198
user,France,fr,3,8,2,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,617,2854
user,United_Kingdom,en,3,9,15,0,0,0,1,0,F,mrs,TRUE,FALSE,TRUE,TRUE,17,2853
user,United_States,en,3,8,1,0,0,0,6,0,M,mr,FALSE,FALSE,FALSE,TRUE,700,3196
user,Germany,de,3,8,6,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,186,2859
user,Denmark,en,4,8,0,0,0,0,2,1,F,mrs,FALSE,FALSE,FALSE,TRUE,430,2853
user,Netherlands,en,3,8,15,0,0,0,6,0,F,mrs,TRUE,FALSE,TRUE,TRUE,23,3197
user,France,fr,3,8,4,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,300,2859
user,Italy,it,3,8,29,0,0,0,3,0,F,mrs,FALSE,FALSE,FALSE,TRUE,20,3202
user,Denmark,en,4,8,63,0,0,0,7,0,F,mrs,TRUE,FALSE,TRUE,TRUE,22,2857
user,United_States,en,3,8,0,0,0,0,1,1,F,mrs,FALSE,FALSE,FALSE,TRUE,671,2856
user,Spain,es,3,8,0,0,0,0,3,0,F,mrs,FALSE,FALSE,FALSE,TRUE,595,3196
user,United_States,de,3,8,1,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,709,3205
