condition,method,task,mean_error,std_error,percentage_correct,percentage_3,percentage_4,percentage_5,percentage_6
A,blue,correlation,14.931034482758621,1.7227334180773555,na,na,na,na,
A,blue,extremum,24335.10689655173,49.06117070767622,na,na,na,na,
A,blue,clusters,2.1785714285714284,0.4396173523391702,na,na,na,na,
A,blue,derived,1.231899619620353,0.15413118585065042,na,na,na,na,
A,blue,range_1,1614.7701148508404,440.3082281707892,na,na,na,na,
A,blue,range_2,4841.220903691799,1527.8043444438445,na,na,na,na,
A,blue,retrieve,0.976563458400503,0.05218164053689171,na,na,na,na,
A,blue,filter,0.3983977708115638,0.02846640698256002,na,na,na,na,
A,blue,order,0.7333333333333335,0.0,na,na,na,na,
A,blue,distribution,na,na,70.0,70.0,73.33333333333333,73.33333333333333,100.0
A,blue,anomalies,na,na,10.0,60.0,90.0,96.66666666666667,100.0
A,maxmin,correlation,34.5,4.662838565944943,na,na,na,na,
A,maxmin,extremum,2246.1740740740743,1268.4749224359114,na,na,na,na,
A,maxmin,clusters,2.32,0.3039736830714133,na,na,na,na,
A,maxmin,derived,2.8558158009842702,0.5342460560395877,na,na,na,na,
A,maxmin,range_1,874.7733333181393,334.47704159955686,na,na,na,na,
A,maxmin,range_2,3724.1394164711046,1441.5695749993615,na,na,na,na,
A,maxmin,retrieve,0.985938529393133,0.04281189670553226,na,na,na,na,
A,maxmin,filter,0.8547537932153316,0.04123125319330674,na,na,na,na,
A,maxmin,order,0.7333333333333333,2.2204460492503135e-17,na,na,na,na,
A,maxmin,distribution,na,na,53.57142857142857,57.14285714285714,60.71428571428571,60.71428571428571,100.0
A,maxmin,anomalies,na,na,3.571428571428571,46.42857142857143,78.57142857142857,92.85714285714286,100.0
A,outlier,correlation,17.321428571428573,1.5379275302937307,na,na,na,na,
A,outlier,extremum,26406.592307692314,38.49998078843753,na,na,na,na,
A,outlier,clusters,5.222222222222222,0.7648498229469092,na,na,na,na,
A,outlier,derived,1.8361236264931624,0.16662137332353177,na,na,na,na,
A,outlier,range_1,413.28205139892816,95.5545070412727,na,na,na,na,
A,outlier,range_2,2218.153946317214,1111.4894750327735,na,na,na,na,
A,outlier,retrieve,0.05724577948815418,0.000873746805192139,na,na,na,na,
A,outlier,filter,0.49230769230769234,0.005329387100211928,na,na,na,na,
A,outlier,order,0.4666666666666667,1.1102230246251568e-17,na,na,na,na,
A,outlier,distribution,na,na,57.14285714285714,60.71428571428571,64.28571428571429,64.28571428571429,100.0
A,outlier,anomalies,na,na,10.714285714285714,67.85714285714286,89.28571428571429,96.42857142857143,100.0
A,random,correlation,13.615384615384615,1.6623217526903318,na,na,na,na,
A,random,extremum,24128.51538461539,40.55568164399986,na,na,na,na,
A,random,clusters,1.8148148148148149,0.6338887286688719,na,na,na,na,
A,random,derived,3.242032106189763,0.12200239944281524,na,na,na,na,
A,random,range_1,711.4133332269754,202.1885306868489,na,na,na,na,
A,random,range_2,1112.2187229650742,223.52254883412994,na,na,na,na,
A,random,retrieve,0.0611449686431016,0.0034162171110376735,na,na,na,na,
A,random,filter,0.44781144781144777,0.023397272610588264,na,na,na,na,
A,random,order,1.0,0.0,na,na,na,na,
A,random,distribution,na,na,53.57142857142857,53.57142857142857,67.85714285714286,67.85714285714286,100.0
A,random,anomalies,na,na,32.142857142857146,82.14285714285714,92.85714285714286,100.0,100.0
A,vas,correlation,36.3448275862069,4.776862302115463,na,na,na,na,
A,vas,extremum,566.1499999999999,136.11017581473297,na,na,na,na,
A,vas,clusters,6.092592592592593,0.5202707471223805,na,na,na,na,
A,vas,derived,9.28911961102934,1.5080096055799983,na,na,na,na,
A,vas,range_1,1074.6666668837238,439.48436995731373,na,na,na,na,
A,vas,range_2,1150.5870443704664,343.8564019192965,na,na,na,na,
A,vas,retrieve,0.9013834119895265,0.01918747113332538,na,na,na,na,
A,vas,filter,0.887375996552467,0.03267683642003648,na,na,na,na,
A,vas,order,0.9743589743589745,0.01656973786810618,na,na,na,na,
A,vas,distribution,na,na,48.275862068965516,51.724137931034484,55.172413793103445,58.620689655172406,100.0
A,vas,anomalies,na,na,13.793103448275861,55.172413793103445,72.41379310344827,86.20689655172413,100.0
B,blue,correlation,14.884615384615385,2.4901819044318354,na,na,na,na,
B,blue,extremum,21220.328571428574,93.27338534764421,na,na,na,na,
B,blue,clusters,1.4814814814814814,0.47552750846990605,na,na,na,na,
B,blue,derived,1.3055072826680727,0.17523053891418974,na,na,na,na,
B,blue,range_1,1541.5880951295662,412.3186953057677,na,na,na,na,
B,blue,range_2,3045.6803065808867,1181.1796423693713,na,na,na,na,
B,blue,retrieve,0.6517445074523537,0.03714039597062408,na,na,na,na,
B,blue,filter,0.40446832860625953,0.053319328308637365,na,na,na,na,
B,blue,order,0.9753086419753088,0.02469135802469136,na,na,na,na,
B,blue,distribution,na,na,72.41379310344827,82.75862068965517,82.75862068965517,82.75862068965517,100.0
B,blue,anomalies,na,na,13.793103448275861,65.51724137931035,89.65517241379311,93.10344827586206,100.0
B,maxmin,correlation,18.73076923076923,3.151828622980484,na,na,na,na,
B,maxmin,extremum,557.5230769230772,84.87746775525537,na,na,na,na,
B,maxmin,clusters,1.1153846153846154,0.6033927744319506,na,na,na,na,
B,maxmin,derived,1.5014734823724012,0.20922692508028368,na,na,na,na,
B,maxmin,range_1,1284.811111153317,468.926593201202,na,na,na,na,
B,maxmin,range_2,1005.11055710562,196.11309359638983,na,na,na,na,
B,maxmin,retrieve,1.065225309183405,0.019440123308717926,na,na,na,na,
B,maxmin,filter,0.656235827664399,0.06980311850115758,na,na,na,na,
B,maxmin,order,0.6,2.1773264873091063e-17,na,na,na,na,
B,maxmin,distribution,na,na,57.14285714285714,60.71428571428571,60.71428571428571,60.71428571428571,100.0
B,maxmin,anomalies,na,na,3.571428571428571,46.42857142857143,75.0,92.85714285714286,100.0
B,outlier,correlation,13.037037037037036,1.6704926013862713,na,na,na,na,
B,outlier,extremum,23260.438461538466,76.92692298077405,na,na,na,na,
B,outlier,clusters,2.3703703703703702,0.6518615642892077,na,na,na,na,
B,outlier,derived,1.1466586675575863,0.14002953603179275,na,na,na,na,
B,outlier,range_1,1620.6666666244612,433.4187292580026,na,na,na,na,
B,outlier,range_2,3990.0219923310306,1397.5468860614292,na,na,na,na,
B,outlier,retrieve,0.05850591505131142,0.0,na,na,na,na,
B,outlier,filter,0.64992340992341,0.03554718992018581,na,na,na,na,
B,outlier,order,0.8864197530864198,0.009289283388898372,na,na,na,na,
B,outlier,distribution,na,na,53.57142857142857,64.28571428571429,64.28571428571429,64.28571428571429,100.0
B,outlier,anomalies,na,na,7.142857142857142,46.42857142857143,75.0,85.71428571428571,100.0
B,random,correlation,17.04,2.5758364337304753,na,na,na,na,
B,random,extremum,17976.677777777782,158.07633964257846,na,na,na,na,
B,random,clusters,0.52,0.15405626677721793,na,na,na,na,
B,random,derived,2.8486987728564297,0.15632827950802222,na,na,na,na,
B,random,range_1,802.6419753789845,179.78681924826668,na,na,na,na,
B,random,range_2,1006.6345889613395,175.5060702944199,na,na,na,na,
B,random,retrieve,0.062142602622577064,0.008190222266843804,na,na,na,na,
B,random,filter,0.7325396825396825,0.025199510744064867,na,na,na,na,
B,random,order,0.9950617283950618,0.0049382716049382715,na,na,na,na,
B,random,distribution,na,na,32.142857142857146,32.142857142857146,39.285714285714285,39.285714285714285,100.0
B,random,anomalies,na,na,21.428571428571427,75.0,89.28571428571429,92.85714285714286,100.0
B,vas,correlation,29.428571428571427,4.194802961056236,na,na,na,na,
B,vas,extremum,1121.407692307692,597.8750653367972,na,na,na,na,
B,vas,clusters,1.7407407407407407,0.22387797215814398,na,na,na,na,
B,vas,derived,2.642041967884311,0.32268027080912637,na,na,na,na,
B,vas,range_1,1208.870370412576,399.04299830024274,na,na,na,na,
B,vas,range_2,1493.0364368644216,654.6960232150465,na,na,na,na,
B,vas,retrieve,0.9946060723636976,0.016287118036149965,na,na,na,na,
B,vas,filter,0.8632099403864111,0.03231169203081734,na,na,na,na,
B,vas,order,0.6246913580246913,0.012402528180295923,na,na,na,na,
B,vas,distribution,na,na,53.57142857142857,60.71428571428571,67.85714285714286,67.85714285714286,100.0
B,vas,anomalies,na,na,7.142857142857142,46.42857142857143,82.14285714285714,92.85714285714286,100.0
C,na,correlation,32.613138686131386,2.0019110710432817,na,na,na,na,
C,na,extremum,503.3319999999998,50.773922359238156,na,na,na,na,
C,na,clusters,1.8384615384615384,0.17568465479741696,na,na,na,na,
C,na,derived,2.2954033824861977,0.24312490953301102,na,na,na,na,
C,na,range_1,1794.9455223710513,215.29162577524656,na,na,na,na,
C,na,range_2,4230.449611484958,628.9940700975196,na,na,na,na,
C,na,retrieve,0.11676471221924642,0.014713871596198818,na,na,na,na,
C,na,filter,0.8735988273164744,0.021028310707064055,na,na,na,na,
C,na,order,0.9959595959595959,0.002458442291015321,na,na,na,na,
C,na,distribution,na,na,52.55474452554745,54.54545454545454,54.54545454545454,55.3030303030303,100.0
C,na,anomalies,na,na,8.75912408759124,55.3030303030303,84.84848484848484,94.6969696969697,100.0
