StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,extremum,clusters,distribution,filter,anomalies,derived,range_1,range_2,retrieve,order_2,order_3,order_1,order_5,order_4,order_6,vlat-1,vlat-2,vlat-3,vlat-4,gender,gender_5_TEXT,age,education,experience_1,experience_2,experience_3,experience_4,Q1,Q2.1,PROLIFIC_PID,condition,method,correlation
2024-03-23 17:13:32,2024-03-23 17:17:35,0,94.5.77.33,100,243,1,2024-03-23 17:17:36,R_2qXyBm2IjNpMx1f,,,,,51.5314,-0.1703,anonymous,EN,1,1000,50,2,"3,6,8",3,40,5,10,4,4,3,5,1,2,6,0,0,0,0,1,,28,7,1,1,7,0,2,,60907d2c5f61cc203cab58e4,B,maxmin,56
2024-03-23 17:11:38,2024-03-23 17:17:42,0,80.1.246.173,100,363,1,2024-03-23 17:17:42,R_3YaBIpo3Uai4y77,,,,,54.5579,-1.328,anonymous,EN,1,4500,9,6,"14,16,17,18",4,6.5,6000,23500,3,2,3,1,6,5,4,1,1,1,1,1,,34,7,2,1,1,0,3,,60df0256cadc8a5d890d8ebb,A,blue,79
2024-03-23 17:10:37,2024-03-23 17:17:43,0,80.6.194.149,100,426,1,2024-03-23 17:17:43,R_7pkYNyaS1Z1iRGj,,,,,52.894,-1.4236,anonymous,EN,1,3000,5,2,"14,15,16,18",3,5,7000,21000,2,3,2,1,5,6,4,1,1,1,1,2,,36,9,3,1,10,0,3,,64136f616f4202871d6bb12e,A,outlier,92
2024-03-23 17:10:53,2024-03-23 17:18:03,0,86.128.231.156,100,429,1,2024-03-23 17:18:03,R_86cPjmCwQKvNKcV,,,,,51.7799,0.2712,anonymous,EN,1,6000,11,2,"15,16,17,18,19",4,6,13000,20000,2,2,3,1,6,4,5,1,1,1,1,2,,44,2,0,0,10,0,2,,6167f61292244595aac00f1a,B,outlier,66
2024-03-23 17:11:48,2024-03-23 17:20:05,0,92.207.76.172,100,497,1,2024-03-23 17:20:06,R_3Yunwmq5aPeDrbv,,,,,51.5074,-0.1196,anonymous,EN,1,29000,10,2,3,3,10,25000,5500,3.2,2,3,1,5,6,4,1,1,1,1,2,,24,6,0,0,0,,2,none,6015ba6e08c86b6e3735ad9f,B,maxmin,0
2024-03-23 17:13:19,2024-03-23 17:20:22,0,81.150.168.254,100,422,1,2024-03-23 17:20:22,R_2HrpE6Yr5610Mb7,,,,,50.9321,-1.3892,anonymous,EN,1,4,11,2,"14,16,17,18",3,7,7,24,3,2,3,1,6,5,4,1,1,1,1,1,,54,6,0,0,0,0,3,,5c71ca9bf6c9fe00013ef0b5,A,blue,90
2024-03-23 17:14:00,2024-03-23 17:20:37,0,86.31.241.127,100,396,1,2024-03-23 17:20:37,R_15S21NGO5qg1nhs,,,,,51.532,0.0884,anonymous,EN,1,8000,10,2,9,3,2.5,0.2,0.1,2.7,5,6,2,1,4,3,1,1,1,0,1,,29,6,1,2,3,1,3,,5e0fece5f6191f70b66608ef,B,blue,73
2024-03-23 17:11:05,2024-03-23 17:20:56,0,89.242.123.214,100,590,1,2024-03-23 17:20:56,R_2FR5JdAl4NgWMuz,,,,,51.4866,-3.1549,anonymous,EN,1,12000,16,2,"15,16,17,18,20,22",3,3,7000,22500,2.1,2,3,1,5,4,6,1,1,1,1,2,,27,7,0,0,2,2,3,,5b8932a816e64100011c2e9d,B,random,70
2024-03-23 17:10:15,2024-03-23 17:21:21,0,2.125.187.224,100,666,1,2024-03-23 17:21:21,R_22FJAh0GgjtlaHr,,,,,52.5578,-0.2675,anonymous,EN,1,29000,10,2,"16,17,18,19,20,21",4,4,7000,24000,3.2,2,3,1,5,6,4,1,1,1,1,1,,29,6,0,0,0,0,3,,5edec1fe543b8816c672b069,B,maxmin,45
2024-03-23 17:10:20,2024-03-23 17:22:41,0,184.155.65.59,100,740,1,2024-03-23 17:22:41,R_2nSs5zaeIDLnLQk,,,,,43.5553,-111.8922,anonymous,EN,1,28000,20,2,"15,16,17,18,19,20,21,22",3,20,7000,22000,2.8,2,3,1,5,4,6,1,1,1,1,2,,41,6,1,0,4,0,3,Interesting study,60ea12bd302e3b17f3def6a0,A,vas,72
2024-03-23 17:11:28,2024-03-23 17:23:02,0,92.234.171.38,100,694,1,2024-03-23 17:23:03,R_2swxlFgR0B4LaUx,,,,,53.3615,-1.507,anonymous,EN,1,28000,8,2,"16,17,18,19,20,21",3,5,7500,24000,3.1,2,3,1,5,6,4,1,1,1,1,1,,49,2,0,0,0,0,3,,5f43d45d58a20d06573156f1,B,vas,16
