StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,check-decrease-1,check-increase-1,check-2,overall-strategy,gender,gender_4_TEXT,age,education,experience_1,experience_2,experience_3,experience_4,effort,feedback,PROLIFIC_PID,size1,size2,size3,size4,size5,dataset1,dataset2,dataset3,dataset4,dataset5,method1,method2,method3,method4,method5,size00,size01,order,row,col,dataset,method
2024-02-26 12:20:53,2024-02-26 12:23:41,0,95.108.64.194,100,167,1,2024-02-26 12:23:42,R_1ImxaEHNalrNyhG,,,,,52.4052,16.9339,anonymous,EN,1,2,,2,i was looking if the patern is similar,1,,22,6,0,0,0,,2,no,5ecbc40644972a757d8611b7,6407,21624,14416,1266,21624,apps,hidden,fraud,mnist,pollution,outlier,vas,random,blue,maxmin,1500,200,lts,5,5,pollution,maxmin
2024-02-26 12:20:46,2024-02-26 12:24:24,0,188.82.181.116,100,217,1,2024-02-26 12:24:24,R_7Fr6npHUVp4twY1,,,,,41.2034,-8.6022,anonymous,EN,1,,2,2,"Just try to make the figure look like the original pattern
",1,,20,3,0,0,1,,3,,6074de03363deb52b54eccf4,32437,2848,32437,2848,32437,apps,hidden,fraud,mnist,pollution,outlier,vas,random,blue,maxmin,200,na,stl,5,5,pollution,maxmin
2024-02-26 12:20:34,2024-02-26 12:24:25,0,95.95.180.36,100,231,1,2024-02-26 12:24:26,R_5lg6FLsoQuQVQRz,,,,,38.8591,-9.0571,anonymous,EN,1,2,,3,I try to reduced it until I stop recognize the original shape,1,,47,5,1,0,20,,2,,5c1ed63210140800013f5ffb,14416,na,na,2848,14416,apps,hidden,fraud,mnist,pollution,vas,random,blue,maxmin,outlier,3000,na,lts,4,5,pollution,outlier
2024-02-26 12:21:15,2024-02-26 12:25:15,0,149.90.229.17,100,240,1,2024-02-26 12:25:16,R_22lMPtd4F9z8Z0P,,,,,41.1691,-8.6793,anonymous,EN,1,,2,3,"no different strategy.
just visualisation. and shape",1,,40,2,5,,20,,3,,616c9b13318596cee463a499,na,na,1266,6407,na,apps,hidden,fraud,mnist,pollution,random,blue,maxmin,outlier,vas,200,na,stl,3,5,pollution,vas
2024-02-26 12:20:46,2024-02-26 12:25:30,0,151.18.139.221,100,284,1,2024-02-26 12:25:31,R_3di0OshocPVwQZe,,,,,45.4722,9.1922,anonymous,EN,1,,2,3,I use the form as a sign of similarity,1,,25,7,13,7,2,,3,Most of the images weren't similar to the original,6169b0218c99bde32fa3cbe4,21624,na,4271,32437,na,apps,hidden,fraud,mnist,pollution,random,blue,maxmin,outlier,vas,1500,1200,stl,3,1,apps,random
2024-02-26 12:20:41,2024-02-26 12:25:34,0,94.60.204.166,100,293,1,2024-02-26 12:25:35,R_70w1l8rqcKHirJ1,,,,,41.1691,-8.6793,anonymous,EN,1,,1,2,"yes, its easier on the dots and harder on the bars. because its easier the imagine de result conecting the dots.",1,,37,2,0,0,0,,2,,5e8cbaafcbf01e067b12002a,32437,32437,na,32437,na,apps,hidden,fraud,mnist,pollution,blue,maxmin,outlier,vas,random,1500,na,stl,2,4,mnist,vas
2024-02-26 12:20:54,2024-02-26 12:25:59,0,80.99.24.134,100,305,1,2024-02-26 12:26:00,R_8jGbdGR6Oy6rcY1,,,,,47.5636,19.0947,anonymous,EN,1,2,,2,I can not explain.,1,,39,6,1,0,0,0,2,,6008b7087367795557f236cd,1266,4271,844,14416,2848,apps,hidden,fraud,mnist,pollution,blue,maxmin,outlier,vas,random,1000,na,lts,2,1,apps,blue
2024-02-26 12:20:53,2024-02-26 12:26:15,0,121.99.208.121,100,321,1,2024-02-26 12:26:16,R_4hYYXytI8WEWWAD,,,,,-37.8134,175.2842,anonymous,EN,1,1,,3,I tried to make sure the pattern from the original was as close to the sample size and placement as possible,1,,23,3,0,0,0,0,3,no,65ab498a8aa3d8ad2713478d,na,14416,9611,4271,9611,apps,hidden,fraud,mnist,pollution,outlier,vas,random,blue,maxmin,750,na,lts,5,4,mnist,blue
2024-02-26 12:20:41,2024-02-26 12:26:27,0,78.11.201.19,100,346,1,2024-02-26 12:26:28,R_7ps92aXt1wPdOCD,,,,,50.0585,19.9342,anonymous,EN,1,2,,2,I had stopped when I could no longer distinguished the pattern occuring in the orginal visualisations.,2,,28,7,0,0,0,0,3,,6000142696d3bf1af8b74849,na,9611,1266,4271,na,apps,hidden,fraud,mnist,pollution,random,blue,maxmin,outlier,vas,200,na,lts,3,4,mnist,outlier
2024-02-26 12:21:11,2024-02-26 12:26:52,0,200.120.80.204,100,340,1,2024-02-26 12:26:53,R_1TFxpBQXTSPDyvo,,,,,-33.4521,-70.6536,anonymous,EN,1,,2,2,"I made sure that the sample points captured the general behaviour of the original plot, using the least amount of points possible. This meant observing general shapes and rates of change in the sample points.",2,,21,3,0,0,0,0,3,,5eaa3db0398cc31d177be481,na,na,na,2848,21624,apps,hidden,fraud,mnist,pollution,vas,random,blue,maxmin,outlier,200,na,stl,4,2,hidden,random
2024-02-26 12:20:59,2024-02-26 12:26:57,0,188.122.20.65,100,357,1,2024-02-26 12:26:57,R_2gUiO7fLDbhtZTr,,,,,51.1038,17.0397,anonymous,EN,1,2,,3,I adopted similar criteria and followed them in each example.,1,,30,7,2,1,5,,3,everything was allright,5f3d3186010cab050f959855,14416,na,4271,4271,9611,apps,hidden,fraud,mnist,pollution,vas,random,blue,maxmin,outlier,1500,na,lts,4,4,mnist,maxmin
