StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,check-decrease-1,check-increase-1,check-2,gender,gender_4_TEXT,age,education,experience_1,experience_2,experience_3,experience_4,effort,feedback,PROLIFIC_PID,size00,size01,size,justification,order,method
2024-03-01 08:11:47,2024-03-01 08:16:17,0,94.60.198.20,100,269,1,2024-03-01 08:16:17,R_2fu9SLcUFabYZMt,,,,,41.1384,-8.6168,anonymous,EN,1,2,,3,2,,24,5,1,1,3,,3,,5f61578829b2480f4a57565a,500,1600,250,it looks different enough,lts,blue
2024-03-01 08:12:28,2024-03-01 08:17:25,0,109.242.76.166,100,297,1,2024-03-01 08:17:26,R_2qwAaKQ3VWS0MN3,,,,,40.6439,22.9358,anonymous,EN,1,2,,2,1,,24,3,1,0,0,0,3,,5d70384bc4f383000128da9c,500,na,21624,,lts,random
2024-03-01 08:12:33,2024-03-01 08:17:41,0,88.122.164.145,100,307,1,2024-03-01 08:17:41,R_5zWK3Rm9jxNnETn,,,,,48.7756,2.3337,anonymous,EN,1,,1,3,2,,26,7,0,0,0,,2,,65998bc675eef229eb24dbff,1500,1600,32437,I was looking at the size and for of the middle form. It was still a little difficult to understand what was expected.,stl,blue
2024-03-01 08:13:21,2024-03-01 08:17:46,0,213.134.178.231,100,264,1,2024-03-01 08:17:46,R_6OkvMamxCfjspAU,,,,,52.2296,21.0067,anonymous,EN,1,,2,2,1,,26,6,1,0,3,,2,,5fa925f7a78e1e0008f13a21,1500,na,6407,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">poziom wypełnienia na środku wykresu
</font></font><div><br></div>",stl,maxmin
2024-03-01 08:13:26,2024-03-01 08:18:02,0,148.234.150.59,100,276,1,2024-03-01 08:18:03,R_3BQLmnJvT2ZK9pp,,,,,25.8264,-100.4082,anonymous,EN,1,,1,3,1,,32,6,1,1,1,0,2,,5b7c3611b22fe60001df1efd,2000,na,2848,It shows how the points are getting in the same way,stl,random
2024-03-01 08:14:02,2024-03-01 08:18:18,0,176.230.128.35,100,255,1,2024-03-01 08:18:19,R_41zzT8cScELEdgg,,,,,31.9642,34.7876,anonymous,EN,1,2,,3,2,,28,7,2,0,0,,2,,5f1ea63c6da2c202bad6db5b,3000,na,14416,I just moved the slider until it looked the most similar.,lts,maxmin
2024-03-01 08:16:22,2024-03-01 08:18:27,0,89.155.29.158,100,124,1,2024-03-01 08:18:27,R_7dhoKTkXuv1jk6d,,,,,41.1691,-8.6793,anonymous,EN,1,2,,2,1,,26,6,,,,,1,,654b9495e8eaa013e392726c,200,na,21624,,lts,vas
2024-03-01 08:15:08,2024-03-01 08:18:36,0,76.64.56.72,100,207,1,2024-03-01 08:18:36,R_51bXd10sBqESZbA,,,,,45.471,-75.4737,anonymous,EN,1,2,,3,2,,25,3,0,,,,3,,5e5d5bca1322f00407344ee0,3000,na,na,,lts,blue
2024-03-01 08:15:11,2024-03-01 08:19:04,0,128.116.221.183,100,232,1,2024-03-01 08:19:05,R_6lGlpOeXW5yMq8W,,,,,45.5336,10.2194,anonymous,EN,1,1,,2,1,,22,3,2,0,0,,2,No,60f030dca19a06db1b50d16a,3000,na,32437,The center of the original lines up with the graph on the right.,lts,outlier
2024-03-01 08:14:52,2024-03-01 08:19:06,0,85.138.230.110,100,253,1,2024-03-01 08:19:06,R_5IrZDTx69dDePcJ,,,,,38.6821,-9.162,anonymous,EN,1,2,,2,1,,25,7,4,2,0,,3,no,5f6b70d050d8b206c64e4ba1,200,na,2848,stoped when I couldn't see no more difeence between the centre and the border density,lts,vas
